Id,MS Zoning,Lot Frontage,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,Year Built,Roof Matl,Exterior 1st,Mas Vnr Type,Mas Vnr Area,Exter Qual,Foundation,Bsmt Qual,BsmtFin SF 1,BsmtFin SF 2,Total Bsmt SF,Heating QC,Central Air,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplace Qu,Garage Type,Garage Area,Garage Qual,Paved Drive,Wood Deck SF,Fence,Yr Sold,SalePrice
1044,RM,21.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,1971,CompShg,HdBoard,BrkFace,232.0,TA,CBlock,TA,387.0,0.0,483.0,TA,Y,987,0.0,0.0,1,1,1,TA,4,NFP,Detchd,264.0,TA,Y,0,NF,2008,85400
2752,RL,64.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2005,CompShg,VinylSd,None,0.0,Gd,PConc,Gd,393.0,0.0,1208.0,Ex,Y,1208,0.0,0.0,2,0,1,Gd,6,NFP,Attchd,632.0,TA,Y,105,NF,2006,183600
807,RL,120.0,Pave,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,1880,CompShg,HdBoard,None,0.0,Gd,PConc,NB,0.0,0.0,0.0,Ex,Y,2016,0.0,0.0,1,0,1,TA,7,TA,Attchd,576.0,TA,P,0,NF,2009,131000
1177,FV,24.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,1999,CompShg,MetalSd,BrkFace,456.0,Gd,PConc,Gd,813.0,0.0,960.0,Ex,Y,1607,1.0,0.0,2,1,1,Gd,7,NFP,Detchd,480.0,TA,Y,169,NF,2008,200000
1480,RL,74.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2007,CompShg,VinylSd,None,0.0,Gd,PConc,Gd,24.0,0.0,1351.0,Ex,Y,1361,0.0,0.0,2,0,1,Gd,6,NFP,Attchd,610.0,TA,Y,0,NF,2008,193000
324,RL,93.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2004,CompShg,VinylSd,None,0.0,TA,PConc,Ex,0.0,0.0,1430.0,Ex,Y,1430,0.0,0.0,2,0,1,Gd,7,NFP,Attchd,624.0,TA,Y,0,NF,2010,173500
1311,RM,34.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1916,CompShg,AsbShng,None,0.0,TA,BrkTil,TA,0.0,0.0,624.0,Fa,N,1344,0.0,0.0,1,0,1,TA,7,NFP,Detchd,513.0,Fa,Y,0,NF,2008,98000
770,RL,80.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1963,CompShg,VinylSd,None,0.0,TA,PConc,TA,651.0,0.0,1121.0,TA,Y,1121,1.0,0.0,1,0,1,TA,5,NFP,Detchd,480.0,TA,Y,0,MnPrv,2009,139000
2063,RL,71.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1977,CompShg,Plywood,BrkFace,148.0,TA,CBlock,TA,0.0,0.0,660.0,Ex,Y,1285,0.0,0.0,1,1,1,TA,7,TA,Attchd,528.0,TA,Y,138,MnPrv,2007,143500
69,FV,72.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2009,CompShg,VinylSd,None,0.0,TA,PConc,Gd,24.0,0.0,756.0,Ex,Y,1547,0.0,0.0,2,1,1,Gd,7,NFP,Attchd,614.0,TA,Y,169,NF,2010,215200
2062,RL,109.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1968,CompShg,VinylSd,None,0.0,TA,CBlock,Gd,492.0,0.0,894.0,Gd,Y,894,0.0,0.0,1,0,1,TA,5,Po,Attchd,450.0,TA,Y,0,NF,2007,129000
351,RL,40.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,2000,CompShg,CemntBd,None,0.0,Gd,PConc,Gd,1158.0,0.0,1501.0,Ex,Y,1659,1.0,0.0,2,0,1,Ex,5,Ex,Attchd,499.0,TA,Y,212,NF,2009,278000
2393,RL,103.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2005,CompShg,CemntBd,NM,0.0,Gd,PConc,Ex,0.0,0.0,1209.0,Ex,Y,2253,0.0,0.0,2,1,1,Ex,8,Gd,Attchd,575.0,TA,Y,243,NF,2006,344133
12,RL,63.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1992,CompShg,HdBoard,None,0.0,TA,PConc,Gd,935.0,0.0,1168.0,Ex,Y,1187,1.0,0.0,2,0,1,TA,6,NFP,Attchd,420.0,TA,Y,483,GdPrv,2010,185000
2339,RL,100.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1955,CompShg,Wd Sdng,None,0.0,TA,CBlock,TA,1056.0,0.0,1056.0,TA,N,1056,1.0,0.0,1,0,1,TA,5,NFP,Attchd,572.0,TA,Y,264,NF,2006,145000
624,RL,92.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1961,CompShg,MetalSd,BrkFace,3.0,TA,CBlock,TA,1312.0,0.0,1453.0,Ex,Y,1453,1.0,0.0,2,0,1,TA,6,TA,Attchd,530.0,TA,Y,0,GdPrv,2009,187500
86,RL,65.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1965,CompShg,MetalSd,None,0.0,TA,CBlock,TA,553.0,117.0,894.0,Ex,Y,894,1.0,0.0,1,0,1,TA,5,Gd,Detchd,336.0,TA,Y,416,MnPrv,2010,138500
1534,RL,64.0,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1937,CompShg,WdShing,None,0.0,TA,CBlock,TA,606.0,0.0,942.0,Ex,Y,1938,0.0,0.0,2,0,1,Gd,7,Gd,Detchd,240.0,TA,Y,0,NF,2008,198000
2243,C (all),75.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,1895,CompShg,VinylSd,None,0.0,TA,CBlock,TA,0.0,0.0,957.0,Fa,N,1991,0.0,0.0,2,0,2,TA,9,NFP,NG,0.0,NG,N,0,NF,2007,119600
1957,RL,60.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1949,CompShg,MetalSd,None,0.0,TA,CBlock,TA,0.0,0.0,672.0,Ex,Y,924,0.0,0.0,1,0,1,TA,6,Po,Detchd,576.0,TA,Y,0,MnPrv,2007,122900
380,RL,80.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1981,WdShngl,BrkFace,None,0.0,Gd,PConc,Gd,1104.0,0.0,2524.0,TA,Y,2524,1.0,0.0,2,1,1,Gd,9,Gd,Attchd,542.0,TA,Y,474,MnPrv,2009,278000
2860,RL,64.0,Pave,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,1929,CompShg,BrkFace,None,0.0,TA,PConc,Gd,0.0,0.0,792.0,Fa,Y,1517,0.0,0.0,1,0,1,Gd,7,Gd,Detchd,400.0,TA,Y,0,NF,2006,230000
2517,RL,30.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1995,CompShg,BrkFace,None,0.0,Gd,PConc,Gd,437.0,1057.0,1494.0,Ex,Y,1494,1.0,0.0,1,1,1,Ex,6,Gd,Attchd,481.0,TA,Y,0,NF,2006,270000
1933,RL,60.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1952,CompShg,Wd Sdng,None,0.0,TA,CBlock,TA,441.0,0.0,948.0,TA,Y,948,0.0,0.0,1,0,1,TA,5,NFP,Detchd,410.0,TA,N,0,NF,2007,125000
820,RL,79.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2007,CompShg,VinylSd,Stone,336.0,Gd,PConc,Ex,1288.0,0.0,1705.0,Ex,Y,1718,1.0,0.0,2,0,1,Gd,7,Gd,Attchd,826.0,TA,Y,208,NF,2009,297000
675,RL,80.0,Pave,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1958,Tar&Grv,Wd Sdng,BrkFace,82.0,TA,CBlock,Gd,0.0,0.0,160.0,Fa,Y,1142,0.0,0.0,1,0,1,TA,5,Gd,Basment,384.0,TA,Y,0,NF,2009,113500
2910,RM,41.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1977,CompShg,CemntBd,None,0.0,TA,PConc,TA,548.0,173.0,757.0,Ex,Y,1475,0.0,0.0,2,0,1,TA,6,TA,Attchd,336.0,TA,Y,104,NF,2006,127000
21,RL,105.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1977,CompShg,Plywood,BrkFace,480.0,TA,CBlock,Gd,705.0,0.0,1844.0,Ex,Y,1844,0.0,0.0,2,0,1,TA,7,TA,Attchd,546.0,TA,Y,0,MnPrv,2010,190000
1873,RL,80.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1973,CompShg,HdBoard,BrkFace,320.0,TA,CBlock,TA,916.0,0.0,1242.0,Fa,Y,1242,0.0,0.0,1,1,1,TA,6,TA,Attchd,528.0,TA,Y,0,NF,2007,175500
2125,RL,60.0,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1994,CompShg,VinylSd,None,0.0,TA,PConc,Gd,420.0,0.0,990.0,Ex,Y,990,1.0,0.0,1,0,1,TA,5,NFP,Detchd,384.0,TA,Y,256,NF,2007,146000
1489,RL,75.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1965,CompShg,HdBoard,None,0.0,Gd,CBlock,TA,830.0,290.0,1256.0,Gd,Y,1256,1.0,0.0,1,1,1,TA,6,NFP,Attchd,276.0,TA,Y,736,NF,2008,147500
2383,RL,107.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2006,CompShg,VinylSd,NM,0.0,Ex,PConc,Ex,1386.0,0.0,2076.0,Ex,Y,2076,1.0,0.0,2,1,1,Ex,7,Gd,Attchd,850.0,TA,Y,216,NF,2006,465000
983,RL,74.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1978,CompShg,Plywood,BrkFace,104.0,TA,PConc,Gd,1097.0,0.0,1097.0,Ex,Y,1110,1.0,0.0,1,0,1,Gd,4,TA,Attchd,602.0,TA,Y,303,NF,2009,165500
1325,RM,81.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1954,CompShg,MetalSd,BrkFace,335.0,TA,BrkTil,TA,0.0,0.0,1050.0,Ex,N,1795,0.0,0.0,2,0,1,TA,7,NFP,Attchd,352.0,Fa,Y,0,NF,2008,131500
1378,RL,70.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1965,CompShg,HdBoard,None,0.0,TA,CBlock,TA,906.0,0.0,1040.0,Ex,Y,1040,1.0,0.0,1,0,1,TA,5,NFP,Detchd,384.0,TA,Y,0,NF,2008,129500
1537,RL,100.0,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1935,CompShg,BrkFace,Stone,40.0,TA,PConc,TA,210.0,0.0,608.0,TA,Y,1873,0.0,0.0,1,1,1,TA,9,Gd,Detchd,786.0,Fa,Y,0,NF,2008,257076
905,RL,60.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1941,CompShg,Wd Sdng,None,0.0,TA,CBlock,TA,408.0,420.0,984.0,Ex,Y,1604,0.0,0.0,2,0,1,TA,6,NFP,Detchd,660.0,TA,Y,0,NF,2009,117000
1532,RL,60.0,Pave,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1931,CompShg,Stucco,None,0.0,TA,BrkTil,Gd,0.0,0.0,776.0,TA,Y,1502,0.0,0.0,1,1,1,TA,6,Gd,Attchd,270.0,TA,P,0,MnPrv,2008,149000
132,RL,80.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1954,CompShg,HdBoard,Stone,110.0,TA,CBlock,TA,354.0,290.0,1056.0,TA,Y,1063,1.0,0.0,1,0,1,TA,6,NFP,Attchd,280.0,TA,Y,0,MnPrv,2010,128000
1078,RL,36.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2003,CompShg,VinylSd,Stone,106.0,Gd,PConc,Gd,0.0,0.0,764.0,Ex,Y,1626,0.0,0.0,2,1,1,Gd,6,NFP,BuiltIn,474.0,TA,Y,0,NF,2008,155000
2511,FV,73.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2000,CompShg,MetalSd,BrkFace,513.0,Gd,PConc,Gd,353.0,0.0,756.0,Ex,Y,1524,0.0,0.0,2,1,1,Gd,4,NFP,Detchd,440.0,TA,Y,0,NF,2006,166000
912,RL,65.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1928,CompShg,WdShing,None,0.0,TA,BrkTil,TA,622.0,0.0,1122.0,TA,Y,1981,1.0,0.0,2,0,1,Gd,7,TA,Detchd,576.0,TA,Y,431,MnPrv,2009,135000
2351,RL,80.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,1978,CompShg,Plywood,BrkFace,184.0,TA,CBlock,Gd,790.0,469.0,1392.0,TA,Y,2784,1.0,0.0,3,1,1,Gd,12,TA,Attchd,564.0,TA,Y,0,MnPrv,2006,250000
330,RM,21.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,1970,CompShg,CemntBd,None,0.0,TA,CBlock,TA,176.0,0.0,546.0,Ex,Y,1092,0.0,0.0,1,1,1,TA,5,NFP,NG,0.0,NG,Y,200,NF,2010,76000
2586,RL,75.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1951,CompShg,Wd Sdng,BrkFace,522.0,TA,CBlock,TA,0.0,0.0,216.0,TA,Y,1575,0.0,0.0,1,1,1,Gd,5,Gd,Attchd,400.0,TA,Y,0,NF,2006,155000
224,RL,80.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1969,CompShg,HdBoard,Stone,143.0,TA,CBlock,TA,371.0,0.0,663.0,TA,Y,1352,0.0,0.0,1,1,1,TA,7,NFP,Attchd,299.0,TA,Y,379,MnPrv,2010,158000
98,FV,24.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2004,CompShg,MetalSd,None,0.0,Gd,PConc,Gd,368.0,42.0,600.0,Ex,Y,1200,1.0,0.0,2,1,1,Gd,4,NFP,Detchd,480.0,TA,Y,0,NF,2010,149500
2565,RL,82.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1954,CompShg,MetalSd,None,0.0,TA,CBlock,TA,486.0,0.0,936.0,TA,Y,936,0.0,0.0,1,0,1,TA,5,NFP,Attchd,240.0,TA,Y,0,MnPrv,2006,121000
1934,RL,68.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1953,CompShg,Wd Sdng,None,0.0,TA,CBlock,TA,85.0,955.0,1040.0,TA,Y,1040,0.0,1.0,1,0,1,TA,6,NFP,Attchd,293.0,TA,Y,0,MnPrv,2007,136000
997,RL,63.0,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1996,CompShg,HdBoard,None,0.0,TA,PConc,Gd,138.0,0.0,916.0,Gd,Y,1636,0.0,0.0,2,1,1,TA,7,TA,Attchd,386.0,TA,Y,168,NF,2008,173000
64,RL,92.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,1999,CompShg,VinylSd,BrkFace,348.0,Gd,PConc,Gd,524.0,0.0,1152.0,Ex,Y,2270,0.0,0.0,2,1,1,Gd,9,Gd,Attchd,671.0,TA,Y,132,NF,2010,290000
1799,FV,75.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2007,CompShg,CemntBd,None,0.0,Gd,PConc,Gd,64.0,0.0,1184.0,Ex,Y,2610,0.0,0.0,2,1,1,Ex,11,Gd,BuiltIn,550.0,TA,Y,208,NF,2007,303477
230,RL,82.5,Pave,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1977,CompShg,Wd Sdng,None,0.0,Gd,CBlock,Gd,1092.0,0.0,1420.0,Gd,Y,1483,1.0,0.0,1,1,1,TA,4,TA,Attchd,690.0,TA,Y,496,NF,2010,270000
1295,RM,81.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1920,CompShg,WdShing,None,0.0,Fa,BrkTil,TA,360.0,0.0,936.0,Gd,N,1740,0.0,0.0,1,0,1,Ex,6,Gd,Detchd,225.0,Fa,N,0,NF,2008,122250
638,RL,70.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1955,CompShg,AsbShng,None,0.0,TA,CBlock,TA,172.0,483.0,1382.0,Gd,Y,1382,0.0,1.0,1,0,1,Gd,6,NFP,Attchd,350.0,TA,Y,280,GdWo,2009,153000
2278,RL,70.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Feedr,Norm,1Fam,2007,CompShg,VinylSd,None,0.0,TA,PConc,Gd,206.0,0.0,1120.0,Ex,Y,1120,0.0,0.0,1,0,1,TA,6,NFP,NG,0.0,NG,Y,0,NF,2007,147000
2202,RL,63.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1930,CompShg,Wd Sdng,None,0.0,TA,BrkTil,Gd,246.0,0.0,531.0,TA,Y,1098,1.0,0.0,1,0,1,TA,5,Gd,Detchd,216.0,TA,Y,0,MnPrv,2007,148500
2833,RM,32.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,2004,CompShg,VinylSd,Stone,117.0,Gd,PConc,Gd,0.0,0.0,976.0,Ex,Y,1708,0.0,0.0,2,0,1,Gd,7,NFP,Detchd,380.0,TA,Y,0,NF,2006,130000
1707,RL,94.0,Pave,IR1,HLS,AllPub,Corner,Mod,NridgHt,Norm,Norm,1Fam,2006,CompShg,MetalSd,Stone,510.0,Ex,PConc,Ex,0.0,0.0,1802.0,Ex,Y,1802,0.0,0.0,2,1,1,Ex,7,Gd,Attchd,843.0,TA,Y,158,NF,2007,372000
2428,RL,43.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,2005,CompShg,VinylSd,BrkFace,145.0,Gd,PConc,Gd,16.0,0.0,1362.0,Ex,Y,1506,0.0,0.0,2,0,1,Gd,6,Gd,Attchd,440.0,TA,Y,142,NF,2006,213490
242,RL,44.0,Pave,IR2,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,2009,CompShg,VinylSd,Stone,96.0,Gd,PConc,Gd,1346.0,0.0,1508.0,Ex,Y,1508,1.0,0.0,1,0,1,Gd,5,TA,Attchd,572.0,TA,Y,0,NF,2010,308030
1564,RL,74.0,Pave,IR2,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1996,CompShg,MetalSd,BrkFace,668.0,Gd,PConc,Ex,700.0,0.0,1840.0,Ex,Y,2032,1.0,0.0,3,0,1,Gd,7,NFP,Attchd,786.0,TA,Y,0,NF,2008,300000
2613,RL,79.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1959,CompShg,BrkFace,None,0.0,TA,CBlock,TA,655.0,0.0,655.0,Ex,Y,1194,0.0,1.0,1,0,1,TA,6,Fa,BuiltIn,539.0,TA,Y,0,NF,2006,159500
2832,RM,24.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2004,CompShg,VinylSd,Stone,50.0,Gd,PConc,Gd,0.0,0.0,970.0,Ex,Y,1709,0.0,0.0,2,0,1,Gd,7,NFP,Detchd,380.0,TA,Y,0,NF,2006,137500
2459,RL,73.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2005,CompShg,VinylSd,BrkFace,228.0,Gd,PConc,Gd,0.0,0.0,1616.0,Ex,Y,1616,0.0,0.0,2,0,1,Gd,7,NFP,Attchd,834.0,TA,Y,208,NF,2006,232000
1360,RM,60.0,Grvl,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,RRNe,Norm,1Fam,1930,CompShg,Stucco,None,0.0,Gd,BrkTil,TA,0.0,0.0,768.0,TA,Y,768,0.0,0.0,1,0,1,TA,4,NFP,Detchd,440.0,TA,N,0,NF,2008,93850
2723,RL,70.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1924,CompShg,BrkFace,Stone,65.0,TA,BrkTil,TA,0.0,0.0,872.0,Fa,N,872,0.0,0.0,1,0,1,Fa,5,Gd,Detchd,322.0,Fa,N,0,NF,2006,105000
1350,RM,60.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1927,CompShg,MetalSd,None,0.0,TA,BrkTil,TA,0.0,0.0,520.0,Fa,N,520,0.0,0.0,1,0,1,Fa,4,NFP,Detchd,240.0,Fa,Y,49,NF,2008,68500
136,RL,80.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,Duplex,1960,CompShg,MetalSd,BrkFace,361.0,TA,CBlock,TA,443.0,0.0,1105.0,TA,Y,2274,0.0,0.0,2,0,2,TA,12,NFP,Detchd,480.0,TA,Y,0,NF,2010,154300
2235,RM,50.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,1Fam,1925,CompShg,VinylSd,None,0.0,Gd,BrkTil,TA,0.0,0.0,936.0,Ex,Y,1601,0.0,0.0,2,0,1,TA,6,NFP,NG,0.0,NG,N,0,NF,2007,129850
1993,RM,35.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1910,CompShg,MetalSd,None,0.0,TA,BrkTil,TA,168.0,0.0,616.0,Ex,Y,1232,0.0,0.0,1,0,1,TA,6,NFP,Detchd,480.0,Fa,Y,280,NF,2007,114000
367,RL,63.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2008,CompShg,VinylSd,Stone,748.0,Ex,PConc,Ex,1904.0,0.0,2216.0,Ex,Y,2234,1.0,0.0,2,0,1,Ex,9,Gd,Attchd,1166.0,TA,Y,0,NF,2009,501837
1309,RM,100.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1915,CompShg,Wd Sdng,None,0.0,TA,BrkTil,TA,0.0,0.0,876.0,Gd,Y,1416,0.0,0.0,1,1,1,TA,7,Gd,Detchd,720.0,TA,Y,418,NF,2008,153900
